,model,positive,negative
0,product--smartfon-xiaomi-redmi-note-13-pro-4g,"['Благодаря своим', 'различных коммуникаций', 'своим характеристикам', 'отличное средство', 'Работает']","['массивный блок', 'многими аналогами', 'быстро привыкаешь', 'блок камер', 'сравнении', 'думаю', 'работает', 'ватс', 'недостатков', 'сплошные плюсы']"
1,product--smartfon-xiaomi-redmi-note-13-4g,"['Классный дизайн', 'хорошая эргономика', 'неплохая камера', 'яркий', 'экран', 'большая', 'батарея']","['трудно найти', 'найти защитное', 'защитное стекло', 'смартфон новый', 'новый марки.', 'нет.', 'устраивает. нет.', 'обнаружила', 'Note', 'версия']"
2,product--smartfon-xiaomi-redmi-note-13-pro-5g,['круто'],"['цена предложение', 'цена', 'баланс.', 'быстро садиться', 'садиться аккумулятор', 'выявил', 'нашел']"
3,product--smartfon-xiaomi-poco-f5,"['шустрый хороший', 'хороший смартфон']","['Камера', 'самая лучшая', 'терпимо', 'Реально тёплый', 'нет.', 'сильно', 'деньги', 'Неделю отключал', 'каждого приложения.', 'вообще']"
4,product--smartfon-xiaomi-poco-x6-pro,"['Лёгкий', 'маленькой руки', 'моей маленькой', 'удобный', 'моей', 'довольна', 'протестировала', 'антуту', 'обзорах']","['скользкий чехол', 'обычный смартфон', 'нету беспроводной', 'срабатывает отпечаток', 'отпечаток пальца', 'батарея держит', 'взгляд', 'нету', 'холоде', 'нашел']"
5,product--sim-karta-mts-bolshe-i-dr-tarify-vsia-rossiia-balans-300-rub,[],"['Нету недостатков', 'Нету', 'нравится', 'тариф', 'дорогой', 'сим', 'отлично', 'десяти симок', 'Пришлось топать', 'Одна']"
6,product--redmi-note-12-4g,['нормально'],"['обнаружено', 'камера', 'нашёл', 'нет.', 'большой', 'Кнопка звука', 'звука работает', 'некоторых случаях', 'легко', 'плюс.']"
7,product--smartfon-samsung-galaxy-a54-5g,"['отличный телефон', 'камера супер', 'функционал достаточный', 'зарядки', 'Доставка быстрая', 'комплекте', 'шнур', 'покупать']","['нет.', 'выявил', 'слабый отпечаток', 'Нареканий нет.', 'отказывается верить', 'отпечаток пальца', 'скользкая задняя', 'задняя стеклянная', 'Малайзия', 'думает']"
8,product--smartfon-xiaomi-poco-m6-pro,"['быстрая зарядка.', 'зарядка. лёгкий', 'отличный звук']",[]
9,product--smartfon-apple-iphone-13,"['Неактивированный', 'целыми пломбами', 'коробка']","['oled дисплей', 'некоторые программы', 'поставить некоторые', 'Высокая цена', 'Когда-то приобретя', 'Бедность комплектации', 'комплектации Когда-то', 'Apple Pay', 'Нету', 'разьема']"
10,product--redmi-note-12-pro-4g,"['качество звука', 'звука отличное']","['сильно выпуклая', 'пришлось добивать', 'добивать вручную', 'переносе инфы', 'выпуклая камера', 'Pro', 'сбалансированного энергопотребления', 'слабая вибрация', 'Фактических недостатков', 'деньги помощней']"
11,product--smartfon-xiaomi-redmi-12,['отличный'],[]
12,product--smartfon-apple-iphone-15,['Оригинал'],"['Разъем USB', 'USB type', 'что-то вообще', 'имеющиеся провода', 'заряжает', 'подходят', 'типа', 'выявлено', 'Подвел курьер', 'сделал проблемы']"
13,product--12-lite,"['Прост', 'обращении']","['слабовата батарея', 'критично', 'остатком.', 'проводить', 'нету', 'выявлено', 'целом хватает']"
14,product--smartfon-nothing-phone-1,"['Внешний вид', 'объем памяти', 'камера', 'вид']","['Камера', 'Отсутствие', 'телефон', 'быстро', 'видео', 'работает', 'зарядки', 'чехла', 'блок', 'недостатков']"
15,product--smartfon-samsung-galaxy-s24,"['согласно характеристик', 'вроде обещают', 'новых обновлениях', 'русский язык', 'единственное', 'звонке', 'перевода', 'новых']","['samsung pay', 'pay', 'Самсунг Пэя', 'Пэя нет.', 'стоит', 'Телефон', 'руках держишь', 'ощущение буд', 'Ирака', 'выявлено']"
16,product--smartfon-apple-iphone-15-pro,"['Оригинал,очень шустрый', 'ощущается разница', 'айфона']","['Титан выглядит', 'Из-за кардинального', 'Предъявы', 'фото', 'изменения конструкции', 'какой-то пластины', 'Экран', 'обнаружено', 'заднюю крышку', 'районе яблока']"
17,product--smartfon-samsung-galaxy-s24-ultra,"['Покупал впервые', 'продавец прислал', 'норм товар', 'Удивлен', 'русский язык', 'Пользуется жена', 'соре', 'жена', 'лень снимать', 'инструкции']","['цветов самсы', 'любитель сочнейших', 'сочнейших цветов', 'Экран', 'ultra', 'Недостатков', 'насыщенный', 'примите', 'сбор', 'телефон']"
18,product--smartfon-samsung-galaxy-s23,"['Быстродействие', 'Размер']","['модели Мини', 'линейке модели', 'Оболочка Самсунга', 'Самсунга требует', 'Отсутствие', 'требует привыкания', 'срабатывает фейс', 'обнаружил', 'прям', 'экран']"
19,product--smartfon-xiaomi-13-lite,"['лёгкий', 'изящный', 'руке удобный', 'отличная камера', 'цены']","['явно медленная', 'Память телефона', 'видео', 'телефона явно', 'аккумулятор', 'таковых недостатков', 'рекламы', 'быстро', 'Xiaomi', 'динамик']"
